scenario,year,status,model_technology,date_known,mean_mw,p10_mw,p25_mw,p50_mw,p75_mw,p90_mw
high,2028,pre-construction,hydropower,unknown,7474.763,624.7,2028.5,4977.0,10153.0,16582.100000000002
high,2028,pre-construction,offshore wind,known,13533.436,8961.7,10858.75,13320.0,15827.0,18191.05
high,2028,pre-construction,offshore wind,unknown,55827.126,13445.580000000002,25303.8,48433.75,78874.525,114285.55000000002
high,2028,pre-construction,onshore wind,known,34163.3379,27865.52,30363.475,33519.9,37195.4,42115.72
high,2028,pre-construction,onshore wind,unknown,239176.0181,208150.31,227485.45,244245.85,254926.45,264185.14
high,2028,pre-construction,utility-scale solar,known,54240.389200000005,47108.54,50212.5,53896.7,57986.675,62024.490000000005
high,2028,pre-construction,utility-scale solar,unknown,168222.9889,73215.6,111142.625,164769.45,219064.875,269613.08
high,2029,announced,hydropower,known,1114.109,391.70000000000005,653.0,1029.5,1521.0,1942.8000000000002
high,2029,announced,hydropower,unknown,6185.732,237.70000000000002,1342.25,4358.0,8698.25,14621.300000000001
high,2029,announced,offshore wind,known,3766.195,1015.4000000000001,2118.25,3698.0,5338.75,6612.8
high,2029,announced,offshore wind,unknown,31848.521399999998,2463.4,7486.0,18804.5,43470.25,81120.1
high,2029,announced,onshore wind,known,13213.8422,9302.02,11108.75,13382.650000000001,15208.550000000001,16822.06
high,2029,announced,onshore wind,unknown,88231.5315,55255.42,69307.3,86370.95000000001,104747.17499999999,124543.97000000002
high,2029,announced,utility-scale solar,known,30674.3827,19719.530000000002,24956.15,31195.25,37100.350000000006,40617.23
high,2029,announced,utility-scale solar,unknown,165952.0423,120975.4,146778.675,170001.3,189935.875,206067.93
high,2029,construction,hydropower,known,7869.166,3960.3,5784.75,8104.0,9857.75,11333.8
high,2029,construction,hydropower,unknown,1529.018,0.0,235.0,915.5,2440.25,3963.1
high,2029,construction,offshore wind,known,0.0,0.0,0.0,0.0,0.0,0.0
high,2029,construction,offshore wind,unknown,0.0,0.0,0.0,0.0,0.0,0.0
high,2029,construction,onshore wind,known,3054.6688000000004,2399.6,2871.225,3243.8,3243.8,3276.3
high,2029,construction,onshore wind,unknown,0.0,0.0,0.0,0.0,0.0,0.0
high,2029,construction,utility-scale solar,known,2826.549,2848.0,2848.0,2848.0,2848.0,2848.0
high,2029,construction,utility-scale solar,unknown,0.0,0.0,0.0,0.0,0.0,0.0
high,2029,pre-construction,hydropower,known,6867.888,3694.9,4928.75,6768.0,8750.75,10203.1
high,2029,pre-construction,hydropower,unknown,18812.514,6247.3,10434.5,17533.0,26025.0,33385.9
high,2029,pre-construction,offshore wind,known,20797.239,14817.75,17410.25,20632.5,23760.125,27078.95
high,2029,pre-construction,offshore wind,unknown,82398.33459999999,47875.450000000004,69670.475,86904.1,99878.15,108038.05
high,2029,pre-construction,onshore wind,known,34626.1953,25058.31,29275.925,35068.65,39235.45,44547.729999999996
high,2029,pre-construction,onshore wind,unknown,114260.4918,63606.490000000005,88235.85,116765.2,142170.05,161828.28
high,2029,pre-construction,utility-scale solar,known,26342.2242,18810.190000000002,22298.6,26809.75,30446.399999999998,32928.32
high,2029,pre-construction,utility-scale solar,unknown,1952.569,0.0,0.0,61.35,1311.975,5540.980000000001
high,2030,announced,hydropower,known,1446.92,655.0,933.75,1348.5,1843.75,2300.0
high,2030,announced,hydropower,unknown,11040.512,2913.1,6102.25,10011.5,15024.75,19867.2
high,2030,announced,offshore wind,known,4071.617,1423.6,2312.0,3807.5,5514.0,7226.2
high,2030,announced,offshore wind,unknown,61023.051,15835.7,30953.25,59054.1,88197.75,110448.0
high,2030,announced,onshore wind,known,10182.100699999999,6766.2699999999995,7904.1,9370.099999999999,11604.4,14732.72
high,2030,announced,onshore wind,unknown,82927.04659999999,57387.170000000006,66544.5,80154.1,97127.025,112501.57000000002
high,2030,announced,utility-scale solar,known,22131.754800000002,15779.73,18415.375,21607.15,25530.5,29294.44
high,2030,announced,utility-scale solar,unknown,42741.6104,7144.76,19187.25,38968.3,60047.15,85072.76000000001
high,2030,construction,hydropower,known,5837.318,3109.8,4209.0,5755.0,7098.5,8454.900000000001
high,2030,construction,hydropower,unknown,147.963,0.0,0.0,0.0,54.0,344.0
high,2030,construction,offshore wind,known,181.2,200.0,200.0,200.0,200.0,200.0
high,2030,construction,offshore wind,unknown,0.0,0.0,0.0,0.0,0.0,0.0
high,2030,construction,onshore wind,known,1359.7966000000001,1303.2,1303.2,1303.2,1303.2,2147.4
high,2030,construction,onshore wind,unknown,0.0,0.0,0.0,0.0,0.0,0.0
high,2030,construction,utility-scale solar,known,6208.267,6054.0,6254.0,6254.0,6254.0,6254.0
high,2030,construction,utility-scale solar,unknown,0.0,0.0,0.0,0.0,0.0,0.0
high,2030,pre-construction,hydropower,known,7520.262,4807.0,5726.75,7129.0,8990.25,10950.1
