scenario,year,status,model_technology,mean_mw,p10_mw,p25_mw,p50_mw,p75_mw,p90_mw
low,2026,pre-construction,hydropower,21.802,0.0,0.0,0.0,0.0,0.0
low,2026,pre-construction,offshore wind,144.208,0.0,0.0,0.0,285.75,431.0000000000002
low,2026,pre-construction,onshore wind,2650.9942,1007.36,1436.025,2174.45,3408.175,5211.700000000002
low,2026,pre-construction,utility-scale solar,12381.3356,8703.83,10224.775,12041.1,14214.2,16457.829999999998
low,2027,announced,hydropower,25.536,0.0,0.0,0.0,0.0,0.0
low,2027,announced,offshore wind,239.211,0.0,0.0,0.0,250.0,623.0000000000007
low,2027,announced,onshore wind,1166.8646,365.70000000000005,563.5250000000001,890.3,1321.55,1931.0500000000002
low,2027,announced,utility-scale solar,11986.3333,8439.51,9967.074999999999,11777.75,13821.375,15866.58
low,2027,construction,hydropower,7660.58,3493.2,5153.0,7377.5,9972.5,12104.400000000001
low,2027,construction,offshore wind,18205.1325,12190.5,14987.5,17948.75,21421.25,24514.95
low,2027,construction,onshore wind,125985.3055,111734.56,119208.42499999999,126673.70000000001,133343.175,138910.03
low,2027,construction,utility-scale solar,227243.76,215144.96,221040.1,227490.7,233782.925,238785.41999999998
low,2027,pre-construction,hydropower,204.2,0.0,0.0,100.0,270.0,724.1
low,2027,pre-construction,offshore wind,1467.479,300.0,696.0,1210.5,2020.5,2969.0
low,2027,pre-construction,onshore wind,20570.236100000002,13715.44,16843.949999999997,20163.4,23926.375,27923.62
low,2027,pre-construction,utility-scale solar,71772.8145,55034.41,60905.575,68609.85,79156.59999999999,91803.42000000001
low,2028,announced,hydropower,67.777,0.0,0.0,0.0,63.0,233.2000000000005
low,2028,announced,offshore wind,607.022,0.0,0.0,120.0,750.0,2000.0
low,2028,announced,onshore wind,3438.7879,1492.57,2050.05,2846.5,4184.475,6685.64
low,2028,announced,utility-scale solar,24371.7169,18971.01,21256.425,23664.4,26844.95,30548.870000000003
low,2028,construction,hydropower,11541.58,6888.9,8921.0,11164.5,14123.25,16710.5
low,2028,construction,offshore wind,14772.4255,9600.4,12808.25,15112.0,17442.5,19255.6
low,2028,construction,onshore wind,48676.102,28964.34,37561.924999999996,47971.8,59323.725,69680.31
low,2028,construction,utility-scale solar,69841.453,46780.43,56244.075,69134.4,82879.45,93887.81
low,2028,pre-construction,hydropower,785.25,110.0,276.0,609.0,1076.0,1580.7000000000003
low,2028,pre-construction,offshore wind,5047.7667,1879.0,2962.25,4352.5,6321.0,8661.100000000002
low,2028,pre-construction,onshore wind,41127.6619,27870.02,32790.05,38965.45,46867.375,56989.16
low,2028,pre-construction,utility-scale solar,225136.11330000003,153587.32000000004,179740.1,217997.3,262018.05,308669.33
low,2029,announced,hydropower,195.066,0.0,0.0,60.0,260.0,600.0
low,2029,announced,offshore wind,1068.152,0.0,0.0,498.0,1797.0,2791.0
low,2029,announced,onshore wind,7040.8641,3345.88,4405.275000000001,6195.15,8938.650000000001,11638.4
low,2029,announced,utility-scale solar,38100.2604,24145.34,28594.550000000003,35775.75,45359.45,54071.29
low,2029,construction,hydropower,12297.606,7686.900000000001,9651.5,12055.5,14678.0,17280.4
low,2029,construction,offshore wind,4214.5995,0.0,1400.0,3639.75,6472.375,9140.500000000002
low,2029,construction,onshore wind,6823.932900000001,2228.0099999999998,3258.175,5242.0,9542.225,13119.35
low,2029,construction,utility-scale solar,6961.1548,3280.68,4138.825,5643.7,8272.0,13494.330000000002
low,2029,pre-construction,hydropower,2194.357,589.9,1010.0,1665.0,2768.0,4638.300000000001
low,2029,pre-construction,offshore wind,11896.6088,4586.4,6860.25,9958.75,13936.75,19322.45
low,2029,pre-construction,onshore wind,78002.5308,49074.450000000004,59964.825000000004,73005.8,92149.84999999999,111824.06
low,2029,pre-construction,utility-scale solar,314440.01910000003,273721.7,297627.125,318924.19999999995,336357.425,349228.27
low,2030,announced,hydropower,371.441,0.0,0.0,160.0,405.0,858.5000000000001
low,2030,announced,offshore wind,1906.2921999999999,0.0,350.0,1000.0,2477.5,4308.6
low,2030,announced,onshore wind,12164.1019,5674.67,7460.4,10578.7,14759.5,20490.930000000004
low,2030,announced,utility-scale solar,55214.14,31911.82,40747.149999999994,52351.9,65981.875,81574.48
low,2030,construction,hydropower,11885.345,7576.4,9332.0,11649.5,14165.25,16381.9
low,2030,construction,offshore wind,699.383,0.0,0.0,200.0,827.75,2050.25
low,2030,construction,onshore wind,2126.0102,844.2,1444.2,2147.4,2797.4,3402.8
low,2030,construction,utility-scale solar,5362.361400000001,4189.0,4753.0,5372.5,5982.0,6485.0
low,2030,pre-construction,hydropower,4283.367,1432.2000000000003,2255.25,3592.0,5575.25,7812.400000000001
low,2030,pre-construction,offshore wind,23775.5788,9702.4,13517.875,18654.75,28455.25,43556.729999999996
low,2030,pre-construction,onshore wind,113494.62520000001,80222.46,94199.45,112615.6,132480.925,147797.5
low,2030,pre-construction,utility-scale solar,199795.8499,142390.02000000002,177308.6,205328.8,230045.275,245719.88
