sep=;
state;date;variable;generation_gwh
India Total;2022-01-01;Bioenergy;2396.96
India Total;2022-01-01;Clean;24703.31
India Total;2022-01-01;Coal;94081.75
India Total;2022-01-01;Fossil;96292.28
India Total;2022-01-01;Gas;2191.34
India Total;2022-01-01;Hydro;8025.88
India Total;2022-01-01;Nuclear;4056.7
India Total;2022-01-01;Other Fossil;19.19
India Total;2022-01-01;Other Renewables;214.46
India Total;2022-01-01;Renewables;20646.61
India Total;2022-01-01;Solar;6611.09
India Total;2022-01-01;Wind;3398.22
India Total;2022-01-01;Wind and solar;10009.31
India Total;2022-02-01;Bioenergy;2198.48
India Total;2022-02-01;Clean;24575.52
India Total;2022-02-01;Coal;90825.48
India Total;2022-02-01;Fossil;92931.51
India Total;2022-02-01;Gas;2097.97
India Total;2022-02-01;Hydro;8001
India Total;2022-02-01;Nuclear;3811.39
India Total;2022-02-01;Other Fossil;8.06
India Total;2022-02-01;Other Renewables;180.71
India Total;2022-02-01;Renewables;20764.13
India Total;2022-02-01;Solar;7276.19
India Total;2022-02-01;Wind;3107.75
India Total;2022-02-01;Wind and solar;10383.94
India Total;2022-03-01;Bioenergy;2447.22
India Total;2022-03-01;Clean;30633.46
India Total;2022-03-01;Coal;106264.52
India Total;2022-03-01;Fossil;108761.15
India Total;2022-03-01;Gas;2481.49
India Total;2022-03-01;Hydro;11222.88
India Total;2022-03-01;Nuclear;4406.57
India Total;2022-03-01;Other Fossil;15.14
India Total;2022-03-01;Other Renewables;211.72
India Total;2022-03-01;Renewables;26226.89
India Total;2022-03-01;Solar;8338.23
India Total;2022-03-01;Wind;4006.84
India Total;2022-03-01;Wind and solar;12345.07
India Total;2022-04-01;Bioenergy;1758.71
India Total;2022-04-01;Clean;30179.31
India Total;2022-04-01;Coal;108910.8
India Total;2022-04-01;Fossil;111582.83
India Total;2022-04-01;Gas;2660.45
India Total;2022-04-01;Hydro;12223.36
India Total;2022-04-01;Nuclear;3521.19
India Total;2022-04-01;Other Fossil;11.58
India Total;2022-04-01;Other Renewables;215.56
India Total;2022-04-01;Renewables;26658.12
India Total;2022-04-01;Solar;8334.25
India Total;2022-04-01;Wind;4126.24
India Total;2022-04-01;Wind and solar;12460.49
India Total;2022-05-01;Bioenergy;1029.27
India Total;2022-05-01;Clean;37288.6
India Total;2022-05-01;Coal;105955.63
India Total;2022-05-01;Fossil;108416.17
India Total;2022-05-01;Gas;2451.1
India Total;2022-05-01;Hydro;13525.59
India Total;2022-05-01;Nuclear;3524.72
India Total;2022-05-01;Other Fossil;9.44
India Total;2022-05-01;Other Renewables;207.2
India Total;2022-05-01;Renewables;33763.88
India Total;2022-05-01;Solar;8827.55
India Total;2022-05-01;Wind;10174.27
India Total;2022-05-01;Wind and solar;19001.82
India Total;2022-06-01;Bioenergy;633.32
India Total;2022-06-01;Clean;37310.48
India Total;2022-06-01;Coal;103219.09
India Total;2022-06-01;Fossil;105618.17
India Total;2022-06-01;Gas;2389.39
India Total;2022-06-01;Hydro;14645.01
India Total;2022-06-01;Nuclear;3867.38
India Total;2022-06-01;Other Fossil;9.69
India Total;2022-06-01;Other Renewables;196.31
India Total;2022-06-01;Renewables;33443.1
India Total;2022-06-01;Solar;8259.94
India Total;2022-06-01;Wind;9708.52
India Total;2022-06-01;Wind and solar;17968.46
India Total;2022-07-01;Bioenergy;455.97
India Total;2022-07-01;Clean;42622.55
India Total;2022-07-01;Coal;92343.23
India Total;2022-07-01;Fossil;94355.88
India Total;2022-07-01;Gas;2002.31
India Total;2022-07-01;Hydro;20705.93
India Total;2022-07-01;Nuclear;4016.93
India Total;2022-07-01;Other Fossil;10.34
India Total;2022-07-01;Other Renewables;211.41
India Total;2022-07-01;Renewables;38605.62
India Total;2022-07-01;Solar;6965.88
India Total;2022-07-01;Wind;10266.43
India Total;2022-07-01;Wind and solar;17232.31
