Parameter,State,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10
Bio Power - Generation (in MU),Arunachal Pradesh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hydro - Generation (in MU),Chandigarh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Solar - Generation (in MU),Chandigarh,0.29,0.37,0.34,0.29,0.3,0.32,0.32,0.25,0.18,0.19,0.26,0.29,0.35,0.36,0.35,0.3,0.44,0.31,0.44,0.25,0.36,0.22,0.45,0.34,1.87,0.33,0.75,0.29,1.06,0.32,0.47,0.22,0.82,0.22,1.25,0.27,1.69,0.27,3.05,0.26,3.49,0.26,0.47,0.66,1.41,0.23,1.46,0.26,2.32,0.34,2.21,0.23,1.48,0.16,1.28,0.24,1.78,0.18,1.56,1.56,2.67,0.21,1.96,0.28,0.28,0.29,0.29,0.29,0.29,0.17,1.71,1.71,1.71,0.27,2.31,0.24,2.53,0.22,2.04,0.22,1.68,0.99,0.99,0.99,2.81,0.23,0.23,0.2,2.16,0.19,2.01,0.2,1,0.72,1.43,1.43,2.2,0.75,1.98,0.59,1.24,0.78,1.19,0.63,0.63,0.45,0.63,0.63,1.02,1.07,0.85,0.68,1.27,0.6,1,0.44,0.66,0.4,0.4,0.4,0.4,0.66,0.66,0.63,0.83,0.83,-
Small-Hydro - Generation (in MU),Chandigarh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bio Power - Generation (in MU),Chandigarh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hydro - Generation (in MU),Dadra and Nagar Haveli and Daman and Diu,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Solar - Generation (in MU),Dadra and Nagar Haveli and Daman and Diu,0.1,0.11,0.19,0.28,0.28,0.36,0.37,0.52,0.53,0.63,0.68,0.7,1.05,0.6,0.61,0.92,0.99,1.4,1.4,1.64,1.63,1.65,1.75,2.08,2.25,2.37,1.84,1.32,1.62,1.84,2.1,2.07,1.75,2.1,2.32,2.49,2.56,2.36,1.8,0.81,1.38,2.01,2.12,1.98,1.97,2.33,2.43,2.95,2.82,2.78,1.84,1.73,1.71,1.69,2.42,2.29,2.7,2.57,2.69,2.79,3.21,2.92,2.23,2.09,1.85,2.33,2.8,2.93,2.95,6.09,6.72,5.34,4.24,7.47,8.33,7.38,5.1,5.01,6.96,7.73,8.16,7.37,7.74,9.01,6.72,4.87,4.63,2.26,1,1.25,1.36,1.36,1.26,1.29,1.44,1.51,1.64,1.6,1.16,0.65,1.06,1.16,1.42,1.28,1.14,1.39,1.49,1.76,1.79,1.69,1.25,0.7,0.94,1.14,1.23,1.23,1.37,1.37,1.58,1.58,1.58,1.69,1.69,1.69,1.69,4.76,-
Small-Hydro - Generation (in MU),Dadra and Nagar Haveli and Daman and Diu,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bio Power - Generation (in MU),Dadra and Nagar Haveli and Daman and Diu,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.32,1.2,0.85,1.23,1.16,1.21,-,1.1,1.1,0.48,1.09,1.09,1.11,0.92,1.05,1.08,1.07,1.02,1.16,1.07,1.18,1.62,0.81,0.81,-,-,-,-,-,-,-,-,-,0.8,1.06,1.03,1.16,1.14,1.12,1.15,1.06,1.18,1.04,1.14,1.22,0.89,1.05,1.04,0.66,1.17,1.13,1.12,1.12,1.19,1.19,1.1,1.1,1.1,1.05,1.05,1.05,1.05,1.05,-
Total,Andaman and Nicobar Islands,1.41,1.76,1.99,2.58,2.6,2.72,3.13,2.44,1.52,1.57,1.62,1.69,1.81,1.69,2.24,2.29,2.51,2.12,2.54,2.77,2.73,2.2,2.01,1.75,1.86,1.42,1.89,2.18,2.43,2.78,2.65,2.33,2.36,2.34,1.98,2.07,2.02,1.98,2.17,2.4,2.5,2.93,3.08,2.93,2.83,2.52,2.73,3.08,2.57,1.78,1.21,1.01,0.46,0.65,1.74,2.12,1.8,1.64,1.6,1.15,1.15,1.03,1.69,2.08,3.01,12.42,3.15,3.15,2.96,2.84,2.6,3.44,2.88,2.04,2.75,2.62,3.03,3.03,3.51,3.34,3.35,2.75,2.46,3.03,3.42,3.42,3.03,3.12,3.68,3.54,3.23,3.28,2.8,2.91,2.77,2.68,2.82,2.96,2.51,2.85,2.99,2.7,3.32,3.46,3.79,3.76,3.84,4.49,3.89,2.22,2.79,3.6,3.65,3.36,3.81,3.81,3.81,2.27,2.42,3.36,2.13,2.48,2.63,3.18,3.26,3.11,0
Total,Arunachal Pradesh,74.17,92.04,199.54,143.03,234.22,222.24,97.36,56.32,46.64,38.39,43.58,51.19,121.74,112.03,154.32,269.53,128.7,153.67,125.38,53.6,40.41,31.73,26.63,47.86,65.23,97.56,214.58,239.9,211.01,189.56,153.3,70.42,50.15,39.42,35.69,50.69,50.16,118.08,193.69,239.66,230.34,241.87,134.17,77.45,55.83,42.43,13.17,3.92,15.48,220.61,170.09,335.84,233.85,269.4,180.17,95.43,69.46,56.15,70.57,71.65,111.83,218.96,400.52,565.23,471.99,405.04,409.32,231.77,187.58,167.68,125.55,157.98,135.26,350.58,502.71,643.26,550.28,525.58,414.34,281.37,209.72,172.72,156.92,220.7,236.17,439.3,618.12,595.68,627.18,616.95,598.24,346.05,231.18,178.59,154.42,203.9,220.16,263.77,462.67,696.97,744.64,492.37,448.47,243.1,183,148.77,150,226.88,237.47,329.09,523.65,603.55,516.87,440.15,569.17,329.22,222.34,142.54,108.76,184.22,199.03,378.7,510.44,601.08,675.71,576.59,425.32
Total,Chandigarh,0.29,0.37,0.34,0.29,0.3,0.32,0.32,0.25,0.18,0.19,0.26,0.29,0.35,0.36,0.35,0.3,0.44,0.31,0.44,0.25,0.36,0.22,0.45,0.34,1.87,0.33,0.75,0.29,1.06,0.32,0.47,0.22,0.82,0.22,1.25,0.27,1.69,0.27,3.05,0.26,3.49,0.26,0.47,0.66,1.41,0.23,1.46,0.26,2.32,0.34,2.21,0.23,1.48,0.16,1.28,0.24,1.78,0.18,1.56,1.56,2.67,0.21,1.96,0.28,0.28,0.29,0.29,0.29,0.29,0.17,1.71,1.71,1.71,0.27,2.31,0.24,2.53,0.22,2.04,0.22,1.68,0.99,0.99,0.99,2.81,0.23,0.23,0.2,2.16,0.19,2.01,0.2,1,0.72,1.43,1.43,2.2,0.75,1.98,0.59,1.24,0.78,1.19,0.63,0.63,0.45,0.63,0.63,1.02,1.07,0.85,0.68,1.27,0.6,1,0.44,0.66,0.4,0.4,0.4,0.4,0.66,0.66,0.63,0.83,0.83,0
Total,Dadra and Nagar Haveli and Daman and Diu,0.1,0.11,0.19,0.28,0.28,0.36,0.37,0.52,0.53,0.63,0.68,0.7,1.05,0.6,0.61,0.92,0.99,1.4,1.4,1.64,1.63,1.65,1.75,2.08,2.25,2.37,1.84,1.32,1.62,1.84,2.1,2.07,1.75,2.1,2.32,2.49,2.56,2.36,1.8,0.81,1.38,2.01,2.12,1.98,1.97,2.33,2.43,2.95,2.82,2.78,1.84,1.73,1.71,1.69,2.42,2.29,2.7,2.57,2.69,2.79,3.21,2.92,2.23,3.41,3.05,3.18,4.03,4.09,4.16,6.09,7.82,6.44,4.72,8.56,9.42,8.49,6.02,6.06,8.04,8.8,9.18,8.53,8.81,10.19,8.34,5.68,5.44,2.26,1,1.25,1.36,1.36,1.26,1.29,1.44,1.51,2.44,2.66,2.19,1.81,2.2,2.28,2.57,2.34,2.32,2.43,2.63,2.98,2.68,2.74,2.29,1.36,2.11,2.27,2.35,2.35,2.56,2.56,2.68,2.68,2.68,2.74,2.74,2.74,2.74,5.81,0
