Parameter,State,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12
Coal - Generation (in MU),Haryana,2724.94,1972.84,1920.99,2652.16,2686.68,2852.87,3046.91,2782.9,2624.33,2643.97,1945.18,2284.35,2359.32,2117.7,2232.19,2367.71,2250.78,2211.98,2774.67,2371.01,2293.94,1673.79,1203.86,2173.39
Oil & Gas - Generation (in MU),Haryana,,,,1.07,103.67,110.63,,,,,,,,,,24.71,21.37,47.11,29.59,11.49,11.0,8.74,13.71,11.66
Nuclear - Generation (in MU),Haryana,,,,,,,,,,,,,,,,,,,,,,,,
Hydro - Generation (in MU),Haryana,,,,,,,,,,,,,,,,,,,,,,,,
Solar - Generation (in MU),Haryana,96.9,96.9,97.49,118.98,118.98,118.98,118.98,118.98,128.66,135.36,122.22,122.22,310.79620498223693,318.0863761243546,353.3119158900623,397.7065811893806,394.898546673812,387.93250913939454,380.6116290871595,393.29025164919295,438.14444523495035,446.3049554517967,454.22695068261913,513.1591620950293
Wind - Generation (in MU),Haryana,,,,,,,,,,,,,,,,,,,,,,,,
Small-Hydro - Generation (in MU),Haryana,21.14,21.14,0.97,13.72,13.72,13.72,13.72,13.72,24.76,34.58,37.34,37.34,37.34,37.34,37.34,37.34,13.72,13.72,13.72,13.72,13.72,13.72,13.72,26.59
Bio Power - Generation (in MU),Haryana,28.47,28.47,58.24,43.16,43.16,43.16,43.16,43.16,25.92,35.29,35.19,35.19,35.19,35.19,35.19,35.19,43.16,43.16,43.16,43.16,43.16,43.16,43.16,47.77
Total,Delhi,439.33,342.0,274.56,355.23,827.09,819.84,536.27,437.94,315.89,369.72,176.14,89.41,154.31,294.42,250.68,424.61,416.19,504.4,435.31,308.94,220.06,105.78,152.52,178.42
Total,Goa,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44
Total,Gujarat,11592.54,11107.38,11901.77,14269.61,16290.2,15709.42,13153.7,13558.33,10911.61,12406.08,10124.84,12587.71,12483.88,11945.49,14290.49,14756.3,15395.69,14750.74,13036.02,12709.35,11478.69,9418.45,8822.5,10783.8
Total,Haryana,2871.45,2119.35,2077.69,2829.09,2966.21,3139.36,3222.77,2958.76,2803.67,2849.2,2139.93,2479.1,2554.07,2312.45,2426.94,2587.17,2448.01,2434.95,2980.12,2558.36,2480.8,1858.39,1393.43,2423.72
Coal - Generation (in MU),Himachal Pradesh,,,,,,,,,,,,,,,,,,,,,,,,
Oil & Gas - Generation (in MU),Himachal Pradesh,,,,,,,,,,,,,,,,,,,,,,,,
Nuclear - Generation (in MU),Himachal Pradesh,,,,,,,,,,,,,,,,,,,,,,,,
Hydro - Generation (in MU),Himachal Pradesh,1241.96,1214.49,1640.6,1951.25,4818.48,5687.1,6319.6,6073.63,5043.18,2666.14,1655.37,1426.6,1144.96,1011.38,1570.32,2585.01,4906.94,5922.88,6134.3,6414.86,5566.32,3452.9,1903.34,1708.41
Solar - Generation (in MU),Himachal Pradesh,4.45,4.22,5.93,6.16,8.46,7.76,7.63,7.22,6.44,7.72,9.91,8.24,14.715668670432617,19.57541630951389,23.99937638813382,29.78111510983352,30.223959624858182,28.34424954271462,29.128046983588476,24.607516197431963,25.946346625165113,27.840867466749422,32.7109971490414,33.03643467708203
Wind - Generation (in MU),Himachal Pradesh,,,,,,,,,,,,,,,,,,,,,,,,
Small-Hydro - Generation (in MU),Himachal Pradesh,67.18,54.0,90.88,215.23,318.68,287.93,376.12,411.04,480.91,470.97,150.45,95.84,72.19,65.51,96.03,208.66,286.36,340.95,366.28,373.06,329.78,254.63,195.44,108.5
Bio Power - Generation (in MU),Himachal Pradesh,,,,,,,,,,,,,,,,,,,,,,,,
Coal - Generation (in MU),Jammu and Kashmir,,,,,,,,,,,,,,,,,,,,,,,,
